sample,annot_tool_x,condition_x,len_node1_x,lrgst_mito_node_x,len_lrgst_mito_node_x,total_genes_mito_node_x,CDS_mito_node_x,tRNA_mito_node_x,rRNA_mito_node_x,closely_related_species_x,gtype_x,gene,is_found_x,Run_x,Species_x,Assembly length (bp)_x,mtDNA (%)_x,GenBank ID_x,Publicly Available Genus_x,Publicly Available Species_x,group_x,annot_tool_y,condition_y,len_node1_y,lrgst_mito_node_y,len_lrgst_mito_node_y,total_genes_mito_node_y,CDS_mito_node_y,tRNA_mito_node_y,rRNA_mito_node_y,closely_related_species_y,gtype_y,is_found_y,Run_y,Species_y,Assembly length (bp)_y,mtDNA (%)_y,GenBank ID_y,Publicly Available Genus_y,Publicly Available Species_y,group_y
SRR11537153,mitoS,filt,16861,NODE_1_16861,16861,37,13,22,2,,CDS,nad1,1,SRR11537153,Lycodes vahlii,8147.0,0.2552,MT410895,5,0,2,mitoS,unfilt,16896.0,NODE_1_16896,16896,37,13,22,2,,CDS,1,SRR11537153,Lycodes vahlii,8147.0,0.2552,MT410895,5,0,2
SRR11679529,mitoS,filt,16926,NODE_1_16926,16926,37,13,22,2,,CDS,nad1,1,SRR11679529,Luscinia luscinia,14276.0,0.0164,MT410894,2,0,3,mitoS,unfilt,29096.0,NODE_6_16926,16926,37,13,22,2,,CDS,1,SRR11679529,Luscinia luscinia,14276.0,0.0164,MT410894,2,0,3
SRR11679531,mitoS,filt,16817,NODE_1_16817,16817,37,13,22,2,,CDS,nad1,1,SRR11679531,Phasianus colchicus,16773.0,0.0219,MT410882,1,1,3,mitoS,unfilt,16817.0,NODE_1_16817,16817,37,13,22,2,,CDS,1,SRR11679531,Phasianus colchicus,16773.0,0.0219,MT410882,1,1,3
SRR11679539,mitoS,filt,16637,NODE_1_16637,16637,37,13,22,2,,CDS,nad1,1,SRR11679539,Sciurus vulgaris,16511.0,0.8176,MN122875,11,1,3,mitoS,unfilt,22731.0,NODE_2_16637,16637,37,13,22,2,,CDS,1,SRR11679539,Sciurus vulgaris,16511.0,0.8176,MN122875,11,1,3
SRR11679545,mitoS,filt,11840,NODE_1_11840,11840,30,12,18,0,,CDS,nad1,0,SRR11679545,Vipera berus,12733.0,1.258,MN122848,0,1,3,mitoS,unfilt,11784.0,NODE_1_11784,11784,30,12,18,0,,CDS,0,SRR11679545,Vipera berus,12733.0,1.258,MN122848,0,1,3
SRR11679555,mitoS,filt,14625,NODE_1_14625,14625,33,12,19,2,,CDS,nad1,1,SRR11679555,Chroicocephalus ridibundus,16768.0,5.6225,MN122820,1,1,3,mitoS,unfilt,18361.0,NODE_2_14374,14374,33,12,19,2,,CDS,1,SRR11679555,Chroicocephalus ridibundus,16768.0,5.6225,MN122820,1,1,3
SRR11679575,mitoS,filt,16787,NODE_1_16787,16787,37,13,22,2,,CDS,nad1,1,SRR11679575,Oncorhynchus mykiss,16759.0,0.08199999999999999,MT410879,11,1,3,mitoS,unfilt,16787.0,NODE_1_16787,16787,37,13,22,2,,CDS,1,SRR11679575,Oncorhynchus mykiss,16759.0,0.08199999999999999,MT410879,11,1,3
SRR12432391,mitoS,filt,8438,NODE_1_8438,8438,5,3,2,0,,CDS,nad1,0,SRR12432391,Pipistrellus pygmaeus,,,,2,0,1,mitoS,unfilt,115043.0,NODE_21_35920,35920,38,14,22,2,,CDS,1,SRR12432391,Pipistrellus pygmaeus,,,,2,0,1
SRR11537162,mitoS,filt,18093,NODE_1_18093,18093,37,13,22,2,,CDS,nad1,1,SRR11537162,Arnoglossus laterna,15958.0,1.0269,MN122822,2,0,3,mitoS,unfilt,61885.0,NODE_145_15372,15372,28,12,14,2,,CDS,1,SRR11537162,Arnoglossus laterna,15958.0,1.0269,MN122822,2,0,3
SRR12432332,mitoS,filt,3003,NODE_1_3003,3003,3,2,1,0,,CDS,nad1,0,SRR12432332,Gallinago gallinago,,,,1,0,1,mitoS,unfilt,15784.0,,0,0,0,0,0,,CDS,0,SRR12432332,Gallinago gallinago,,,,1,0,1
SRR12432352,mitoS,filt,5419,NODE_1_5419,5419,12,2,8,2,,CDS,nad1,1,SRR12432352,Raniceps raninus,,,,0,0,1,mitoS,unfilt,6621.0,,0,0,0,0,0,,CDS,0,SRR12432352,Raniceps raninus,,,,0,0,1
SRR12432355,mitoS,filt,16362,NODE_1_16362,16362,37,13,22,2,,CDS,nad1,1,SRR12432355,Sicista betulina,,,,1,0,1,mitoS,unfilt,28295.0,NODE_3_19181,19181,15,4,9,2,,CDS,0,SRR12432355,Sicista betulina,,,,1,0,1
SRR12432363,mitoS,filt,16614,NODE_1_16614,16614,37,13,22,2,,CDS,nad1,1,SRR12432363,Trachipterus arcticus,,,,1,0,1,mitoS,unfilt,11464.0,NODE_1_11464,11464,28,10,16,2,,CDS,1,SRR12432363,Trachipterus arcticus,,,,1,0,1
SRR12432364,mitoS,filt,17025,NODE_1_17025,17025,37,13,22,2,,CDS,nad1,1,SRR12432364,Chelon ramada,,,,1,0,1,mitoS,unfilt,17025.0,NODE_1_17025,17025,37,13,22,2,,CDS,1,SRR12432364,Chelon ramada,,,,1,0,1
SRR12432365,mitoS,filt,8719,NODE_1_8719,8719,20,10,10,0,,CDS,nad1,0,SRR12432365,Maurolicus muelleri,,,,0,0,1,mitoS,unfilt,11211.0,,0,0,0,0,0,,CDS,0,SRR12432365,Maurolicus muelleri,,,,0,0,1
SRR12432366,mitoS,filt,16036,NODE_1_16036,16036,37,13,22,2,,CDS,nad1,1,SRR12432366,Myotis mystacinus,,,,29,0,1,mitoS,unfilt,16794.0,NODE_1_16794,16794,37,13,22,2,,CDS,1,SRR12432366,Myotis mystacinus,,,,29,0,1
SRR12432368,mitoS,filt,2937,NODE_1_2937,2937,1,0,0,1,,CDS,nad1,0,SRR12432368,Megaptera novaeangliae,,,,0,1,1,mitoS,unfilt,2010.0,,0,0,0,0,0,,CDS,0,SRR12432368,Megaptera novaeangliae,,,,0,1,1
SRR11537177,mitoS,filt,18539,NODE_1_18539,18539,37,13,22,2,,CDS,nad1,1,SRR11537177,Merops apiaster,13884.0,0.0406,MN122929,1,0,3,mitoS,unfilt,52395.0,NODE_43_15115,15115,34,12,20,2,,CDS,1,SRR11537177,Merops apiaster,13884.0,0.0406,MN122929,1,0,3
SRR12432369,mitoS,filt,11480,NODE_1_11480,11480,28,10,16,2,,CDS,nad1,1,SRR12432369,Eptesicus serotinus,,,,0,0,1,mitoS,unfilt,1879.0,,0,0,0,0,0,,CDS,0,SRR12432369,Eptesicus serotinus,,,,0,0,1
SRR12432370,mitoS,filt,10813,NODE_1_10813,10813,28,10,16,2,,CDS,nad1,1,SRR12432370,Apodemus sylvaticus,,,,6,1,1,mitoS,unfilt,,,0,0,0,0,0,,CDS,0,SRR12432370,Apodemus sylvaticus,,,,6,1,1
SRR12432371,mitoS,filt,4125,NODE_1_4125,4125,10,5,5,0,,CDS,nad1,0,SRR12432371,Microtus arvalis,,,,7,1,1,mitoS,unfilt,,,0,0,0,0,0,,CDS,0,SRR12432371,Microtus arvalis,,,,7,1,1
SRR12432390,mitoS,filt,5144,NODE_1_5144,5144,11,2,7,2,,CDS,nad1,1,SRR12432390,Ichthyosaura alpestris,,,,0,0,1,mitoS,unfilt,3068.0,,0,0,0,0,0,,CDS,0,SRR12432390,Ichthyosaura alpestris,,,,0,0,1
SRR12432397,mitoS,filt,498,NODE_1_498,498,1,0,0,1,,CDS,nad1,0,SRR12432397,Cygnus olor,,,,4,1,1,mitoS,unfilt,,,0,0,0,0,0,,CDS,0,SRR12432397,Cygnus olor,,,,4,1,1
SRR12432443,mitoS,filt,10720,NODE_1_10720,10720,23,11,12,0,,CDS,nad1,0,SRR12432443,Argyropelecus olfersii,,,,0,0,1,mitoS,unfilt,20018.0,NODE_6_10833,10833,23,11,12,0,,CDS,0,SRR12432443,Argyropelecus olfersii,,,,0,0,1
SRR12432468,mitoS,filt,5589,NODE_1_5589,5589,11,5,6,0,,CDS,nad1,0,SRR12432468,Corvus cornix,,,,12,1,1,mitoS,unfilt,9379.0,,0,0,0,0,0,,CDS,0,SRR12432468,Corvus cornix,,,,12,1,1
SRR12432479,mitoS,filt,8609,NODE_1_8609,8609,21,5,14,2,,CDS,nad1,1,SRR12432479,Branta leucopsis,,,,1,0,1,mitoS,unfilt,10405.0,,0,0,0,0,0,,CDS,0,SRR12432479,Branta leucopsis,,,,1,0,1
SRR12432591,mitoS,filt,1970,NODE_1_1970,1970,4,1,2,1,,CDS,nad1,1,SRR12432591,Emberiza citrinella,,,,12,0,1,mitoS,unfilt,3942.0,,0,0,0,0,0,,CDS,0,SRR12432591,Emberiza citrinella,,,,12,0,1
SRR11537185,mitoS,filt,16726,NODE_1_16726,16726,37,13,22,2,,CDS,nad1,1,SRR11537185,Calidris alpina,9562.0,0.0393,MN122893,3,0,2,mitoS,unfilt,7169.0,,0,0,0,0,0,,CDS,0,SRR11537185,Calidris alpina,9562.0,0.0393,MN122893,3,0,2
SRR11537188,mitoS,filt,19505,NODE_1_19505,19505,37,13,22,2,,CDS,nad1,1,SRR11537188,Buteo buteo,13998.0,0.1356,MN122916,2,1,3,mitoS,unfilt,40133.0,NODE_19_17836,17836,37,13,22,2,,CDS,1,SRR11537188,Buteo buteo,13998.0,0.1356,MN122916,2,1,3
SRR11537189,mitoS,filt,17831,NODE_1_17831,17831,37,13,22,2,,CDS,nad1,1,SRR11537189,Milvus milvus,17883.0,4.7909,MN122837,1,0,3,mitoS,unfilt,17786.0,NODE_1_17786,17786,37,13,22,2,,CDS,1,SRR11537189,Milvus milvus,17883.0,4.7909,MN122837,1,0,3
SRR11537201,mitoS,filt,16756,NODE_1_16756,16756,37,13,22,2,,CDS,nad1,1,SRR11537201,Merlangius merlangus,16660.0,0.0298,MN122861,0,1,3,mitoS,unfilt,18837.0,NODE_3_16756,16756,37,13,22,2,,CDS,1,SRR11537201,Merlangius merlangus,16660.0,0.0298,MN122861,0,1,3
SRR11537206,mitoS,filt,17476,NODE_1_17476,17476,37,13,22,2,,CDS,nad1,1,SRR11537206,Vipera berus,12733.0,4.0683,MN122824,0,1,3,mitoS,unfilt,10158.0,NODE_1_10158,10158,27,11,16,0,,CDS,0,SRR11537206,Vipera berus,12733.0,4.0683,MN122824,0,1,3
